address;source_location;insn;indent
0x3524;:0;LEA	0x1(%RAX),%RCX;
0x3528;:0;MOV	(%RBX,%RAX,8),%RAX;
0x352c;:0;MOV	%RCX,0x1380(%RBX);
0x3533;:0;MOV	%RAX,%RDX;
0x3536;:0;SHR	$0xb,%RDX;
0x353a;:0;MOV	%EDX,%EDX;
0x353c;:0;XOR	%RDX,%RAX;
0x353f;:0;MOV	%RAX,%RDX;
0x3542;:0;SAL	$0x7,%RDX;
0x3546;:0;AND	$-0x62d3a980,%EDX;
0x354c;:0;XOR	%RDX,%RAX;
0x354f;:0;MOV	%RAX,%RDX;
0x3552;:0;SAL	$0xf,%RDX;
0x3556;:0;AND	$-0x103a0000,%EDX;
0x355c;:0;XOR	%RDX,%RAX;
0x355f;:0;MOV	%RAX,%RDX;
0x3562;:0;SHR	$0x12,%RDX;
0x3566;:0;XOR	%RDX,%RAX;
0x3569;:0;JS	3600 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_+0x110>;
0x356f;:0;VCVTSI2SD	%RAX,%XMM2,%XMM1;
0x3574;:0;FLDS	0xa8a(%RIP);
0x357a;:0;VMULSD	(%RSP),%XMM1,%XMM1;
0x357f;:0;FMULL	(%RSP);
0x3582;:0;VADDSD	%XMM1,%XMM0,%XMM0;
0x3586;:0;FSTPL	(%RSP);
0x3589;:0;CMP	$0x1,%EBP;
0x358c;:0;JE	35d0 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_+0xe0>;
0x358e;:0;MOV	%RCX,%RAX;
0x3591;:0;MOV	$0x1,%EBP;
0x3596;:0;CMP	$0x26f,%RAX;
0x359c;:0;JBE	3524 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_+0x34>;
0x3600;:0;MOV	%RAX,%RDX;
0x3603;:0;AND	$0x1,%EAX;
0x3606;:0;SHR	$0x1,%RDX;
0x3609;:0;OR	%RAX,%RDX;
0x360c;:0;VCVTSI2SD	%RDX,%XMM2,%XMM1;
0x3611;:0;VADDSD	%XMM1,%XMM1,%XMM1;
0x3615;:0;JMP	3574 <_ZSt18generate_canonicalIdLm53ESt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EEET_RT1_+0x84>;
